MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LandContour,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MoSold,YrSold,SalePrice
2-STORY 1946+,RL,92,11764,,Lvl,CulDSac,0,1Fam,2Story,8,7,1999,2007,Gable,CompShg,BrkFace,348,4,3,PConc,4,3,0,6,524,1,0,628,1152,GasA,5,1,5,1164,1106,2270,Attchd,1999,3,3,671,3,2,132,57,0,0,0,0,0,0,,Apr,2010,290000
1-STORY 1946+,RL,80,9600,,Lvl,Inside,0,1Fam,1Story,6,6,1958,1988,Hip,CompShg,BrkCmn,183,3,3,CBlock,3,3,0,3,620,3,620,0,1240,GasA,4,1,5,1632,0,1632,Attchd,1958,2,1,338,3,2,289,0,0,0,0,0,0,3,,Apr,2009,139000
1-STORY 1946+,RL,76,8314,,Lvl,Corner,0,1Fam,1Story,5,7,1982,1982,Gable,CompShg,None,0,3,3,CBlock,3,3,3,5,546,1,0,270,816,GasA,3,1,5,816,0,816,Attchd,1982,1,1,264,3,2,168,0,0,0,0,0,0,0,,June,2007,124500
1-1/2 STORY FIN,RL,55,7264,,Lvl,Inside,0,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,None,0,4,4,BrkTil,3,3,0,1,0,1,0,952,952,GasW,4,0,5,952,596,1548,Detchd,1978,1,2,672,3,2,74,0,0,0,144,0,0,0,,Oct,2009,205000
1-STORY 1946+,RL,129,9196,,Lvl,Inside,0,1Fam,1Story,7,5,2003,2003,Gable,CompShg,None,0,4,3,PConc,5,3,0,1,0,1,0,1560,1560,GasA,5,1,5,1560,0,1560,Attchd,2003,3,2,573,3,2,100,150,0,0,0,0,0,0,,Apr,2010,201000
1-STORY 1946+,RL,140,19138,,Lvl,Corner,0,1Fam,1Story,4,5,1951,1951,Gable,CompShg,None,0,3,3,CBlock,3,3,0,2,120,1,0,744,864,GasA,5,1,5,864,0,864,Detchd,1951,1,2,400,3,2,0,0,0,0,0,0,0,0,,June,2010,141000
1-STORY 1946+,RL,107,14450,,Lvl,Inside,0,1Fam,1Story,9,5,2006,2007,Gable,CompShg,BrkFace,315,5,3,PConc,5,3,3,1,0,1,0,2121,2121,GasA,5,1,5,2121,0,2121,Attchd,2007,3,3,732,3,2,124,98,0,0,142,0,0,0,,May,2007,415298
2-STORY 1946+,RL,83,10005,,Lvl,Inside,0,1Fam,2Story,7,5,1977,1977,Hip,CompShg,BrkFace,299,3,3,CBlock,4,3,0,4,392,1,0,768,1160,GasA,5,1,5,1156,866,2022,Attchd,1977,3,2,505,3,2,288,117,0,0,0,0,0,0,,Mar,2008,192000
2-STORY 1946+,RL,82,11287,,Lvl,Inside,0,1Fam,2Story,7,6,1989,1989,Gable,CompShg,BrkFace,340,4,3,CBlock,4,3,2,6,421,1,0,386,807,GasA,4,1,5,1175,807,1982,Attchd,1989,3,2,575,3,2,0,84,0,196,0,0,0,0,,Jan,2007,228500
1-STORY 1946+,FV,60,7200,Pave,Lvl,Inside,0,1Fam,1Story,6,5,2006,2006,Gable,CompShg,Stone,68,4,3,PConc,4,3,0,6,905,1,0,357,1262,GasA,4,1,5,1262,0,1262,Attchd,2006,3,2,572,3,2,0,120,0,0,0,0,0,0,,May,2006,185000
1-STORY PUD 1946+,RL,34,5063,,Lvl,Inside,0,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,Stone,166,4,3,PConc,4,3,0,6,904,1,0,410,1314,GasA,5,1,5,1314,0,1314,Attchd,2008,2,2,626,3,2,172,62,0,0,0,0,0,0,,Apr,2009,207500
1-STORY 1946+,RL,74,9612,,Lvl,Inside,0,1Fam,1Story,8,5,2008,2009,Gable,CompShg,Stone,72,4,3,PConc,4,3,0,1,0,1,0,1468,1468,GasA,5,1,5,1468,0,1468,Attchd,2008,3,3,898,3,2,210,150,0,0,0,0,0,0,,Dec,2009,244600
1-STORY PUD 1946+,RL,50,8012,,Lvl,Inside,0,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,None,0,4,3,PConc,4,3,0,6,430,1,0,1145,1575,GasA,4,1,5,1575,0,1575,Attchd,1992,2,2,529,3,2,0,0,52,0,0,0,0,0,,July,2007,179200
2-STORY PUD 1946+,FV,35,4251,Pave,Lvl,Inside,0,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,None,0,4,3,PConc,4,3,0,1,0,1,0,625,625,GasA,5,1,5,625,625,1250,Detchd,2006,2,2,528,3,2,0,54,0,0,0,0,0,0,,June,2007,164700
1-1/2 STORY FIN,RL,77,9786,,Bnk,Inside,0,1Fam,1.5Fin,6,7,1962,1981,Gable,CompShg,None,0,3,3,CBlock,3,3,0,3,600,1,0,312,912,GasA,3,1,5,1085,649,1734,Attchd,1962,2,2,440,3,2,0,0,0,0,128,0,0,4,,June,2006,159000
1-STORY 1946+,RL,,8125,,Lvl,Corner,0,1Fam,1Story,4,4,1971,1971,Gable,CompShg,None,0,3,3,CBlock,3,3,0,4,614,1,0,244,858,GasA,3,1,5,858,0,858,,1971,0,0,0,0,2,0,0,0,0,0,0,0,0,,June,2006,88000
1-STORY 1946+,RL,,9819,,Lvl,Inside,0,1Fam,1Story,5,5,1967,1967,Gable,CompShg,BrkFace,31,3,4,CBlock,3,3,0,4,450,1,0,432,882,GasA,3,1,5,900,0,900,Detchd,1970,1,1,280,3,2,0,0,0,0,0,0,0,3,,Feb,2010,122000
2-STORY 1945-,RL,60,8730,,Lvl,Inside,0,1Fam,2Story,6,7,1915,2003,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,698,698,GasA,5,1,4,698,698,1396,Detchd,2003,1,1,384,3,2,0,0,0,0,259,0,0,0,,July,2007,153575
2-STORY 1946+,RL,120,15611,,Lvl,Inside,0,1Fam,2Story,8,5,2006,2006,Gable,CompShg,None,0,4,3,PConc,4,3,2,1,0,1,0,1079,1079,GasA,5,1,5,1079,840,1919,Attchd,2006,2,2,685,4,2,0,51,0,0,0,0,0,0,,July,2006,233230
2 FAMILY CONVERSION,RL,55,5687,Grvl,Bnk,Inside,0,2fmCon,2Story,5,6,1912,2000,Gable,CompShg,None,0,3,2,PConc,3,2,0,3,210,1,0,570,780,GasA,5,0,5,936,780,1716,,1912,0,0,0,0,0,0,184,0,0,0,0,0,0,,Mar,2008,135900
1-1/2 STORY FIN,RL,60,11409,,Lvl,Inside,0,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,None,0,3,3,CBlock,3,3,0,2,292,1,0,476,768,GasA,4,1,5,1148,568,1716,Attchd,1949,1,1,281,3,2,0,0,0,0,160,0,0,0,,Jan,2009,131000
2-STORY 1946+,RL,,16659,,Lvl,Corner,0,1Fam,2Story,7,7,1977,1994,Gable,CompShg,BrkFace,34,3,3,CBlock,3,3,0,5,795,1,0,0,795,GasA,2,1,5,1468,795,2263,Attchd,1977,3,2,539,3,2,0,250,0,0,0,0,0,0,,Mar,2006,235000
1-STORY 1946+,RL,80,9600,,Lvl,Inside,0,1Fam,1Story,6,5,1953,1953,Hip,CompShg,Stone,238,3,3,CBlock,3,3,0,6,1285,1,0,131,1416,GasA,3,1,5,1644,0,1644,Attchd,1953,3,2,418,3,2,110,0,0,0,0,0,0,0,,Oct,2009,167000
SPLIT OR MULTI-LEVEL,RL,37,7937,,Lvl,CulDSac,0,1Fam,SLvl,6,6,1984,1984,Gable,CompShg,None,0,3,3,CBlock,3,3,2,6,819,1,0,184,1003,GasA,3,1,5,1003,0,1003,Detchd,1984,1,2,588,3,2,120,0,0,0,0,0,0,4,,Mar,2006,142500
1-1/2 STORY FIN,RM,75,13710,,Lvl,Inside,0,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,None,0,3,3,CBlock,3,3,0,4,420,1,0,490,910,GasA,3,1,4,910,648,1558,Attchd,1950,1,1,282,3,2,289,0,0,0,0,0,0,3,,June,2007,152000
2-STORY 1946+,FV,66,7399,Pave,Lvl,Inside,0,1Fam,2Story,7,5,1997,1998,Hip,CompShg,BrkFace,1600,4,3,PConc,4,3,0,4,649,1,0,326,975,GasA,5,1,5,975,975,1950,Detchd,1997,2,2,576,3,2,0,10,0,0,198,0,0,0,,June,2007,239000
2-STORY 1946+,RL,90,11700,,Lvl,Inside,0,1Fam,2Story,6,6,1968,1968,Mansard,CompShg,BrkFace,365,4,3,CBlock,3,3,0,5,384,3,175,143,702,GasA,4,1,5,1041,702,1743,Attchd,1968,1,2,539,3,2,224,0,0,0,0,0,0,0,,June,2007,175000
1-STORY 1946+,RL,80,14000,,Lvl,Inside,0,1Fam,1Story,6,8,1950,2004,Gable,CompShg,None,0,3,4,CBlock,3,3,0,1,0,1,0,1092,1092,GasA,5,1,5,1152,0,1152,Attchd,1950,1,1,300,3,2,0,36,0,0,0,0,0,4,,Aug,2009,158500
2 FAMILY CONVERSION,RL,90,15750,,Lvl,Corner,0,2fmCon,1Story,5,5,1953,1953,Hip,CompShg,BrkFace,56,3,3,CBlock,3,3,1,4,841,1,0,324,1165,GasA,3,1,5,1336,0,1336,Attchd,1953,1,1,375,3,2,0,0,0,0,0,0,0,0,,June,2006,157000
2-STORY 1946+,RL,66,16226,,Lvl,Inside,0,1Fam,2Story,8,5,1998,1999,Gable,CompShg,None,0,4,3,PConc,4,3,0,6,281,1,0,747,1028,GasA,5,1,5,1210,1242,2452,BuiltIn,1998,3,2,683,3,2,208,50,0,0,0,0,0,0,,May,2007,267000
1-STORY 1946+,RL,118,13704,,Lvl,Corner,0,1Fam,1Story,7,5,2001,2002,Gable,CompShg,BrkFace,150,4,3,PConc,4,3,0,1,0,1,0,1541,1541,GasA,5,1,5,1541,0,1541,Attchd,2001,2,3,843,3,2,468,81,0,0,0,0,0,0,,Jan,2006,205000
1-STORY 1946+,RL,70,9800,,Lvl,Corner,0,1Fam,1Story,5,7,1972,1972,Gable,CompShg,None,0,3,3,PConc,3,3,0,5,894,1,0,0,894,GasA,3,1,5,894,0,894,Attchd,1975,1,2,552,3,2,256,0,0,0,0,0,0,2,,July,2006,149900
2-1/2 STORY,RM,87,18386,,Lvl,Inside,0,1Fam,2.5Fin,7,9,1880,2002,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,1470,1470,GasA,5,1,5,1675,1818,3493,Attchd,2003,1,3,870,3,2,302,0,0,0,0,0,0,0,,May,2008,295000
1-STORY 1946+,RL,80,10386,,Lvl,Inside,0,1Fam,1Story,8,5,2004,2005,Gable,CompShg,Stone,246,4,3,PConc,4,3,0,6,1464,1,0,536,2000,GasA,5,1,5,2000,0,2000,Attchd,2004,3,3,888,3,2,168,0,0,0,0,0,0,0,,July,2007,305900
2-STORY 1946+,RL,116,13474,,Lvl,Inside,0,1Fam,2Story,7,5,1990,1991,Gable,CompShg,BrkFace,246,4,3,CBlock,4,3,0,5,700,1,0,0,700,GasA,4,1,5,1122,1121,2243,Attchd,1990,2,3,746,3,2,127,44,224,0,0,0,0,0,,June,2007,225000
1-1/2 STORY FIN,RM,,7920,Grvl,Lvl,Inside,0,1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,None,0,3,2,CBlock,3,3,0,1,0,1,0,319,319,GasA,3,1,4,1035,371,1406,,1920,0,0,0,0,0,0,144,0,0,0,0,0,3,,Mar,2008,89500
1-STORY 1945-,RL,,12342,,Lvl,Inside,0,1Fam,1Story,4,5,1940,1950,Gable,CompShg,None,0,3,3,CBlock,3,3,0,4,262,1,0,599,861,GasA,5,1,5,861,0,861,Detchd,1961,1,2,539,3,2,158,0,0,0,0,0,0,0,,Mar,2009,82500
1-STORY 1946+,RL,90,12378,,Lvl,Inside,0,1Fam,1Story,9,5,2003,2004,Gable,CompShg,None,0,4,3,PConc,5,3,3,6,1274,1,0,622,1896,GasA,5,1,5,1944,0,1944,Attchd,2003,3,3,708,3,2,208,175,0,0,0,0,0,0,,Nov,2006,360000
2-STORY 1946+,RL,,7685,,Lvl,Inside,0,1Fam,2Story,6,5,1993,1994,Gable,CompShg,BrkFace,112,3,3,PConc,4,3,0,5,518,1,0,179,697,GasA,4,1,5,697,804,1501,Attchd,1993,3,2,420,3,2,190,63,0,0,0,0,0,0,,May,2006,165600
1-STORY 1946+,RL,50,8000,,Lvl,Inside,0,1Fam,1Story,6,6,1948,2002,Gable,CompShg,None,0,3,4,CBlock,3,3,0,5,680,1,0,292,972,GasA,5,1,5,972,0,972,Detchd,1948,1,1,240,3,2,0,0,0,0,0,0,0,0,,May,2009,132000
2 FAMILY CONVERSION,RM,65,7800,,Lvl,Inside,0,2fmCon,1.5Fin,5,7,1939,1950,Gable,CompShg,None,0,3,3,CBlock,4,3,1,3,507,1,0,286,793,GasA,3,1,5,793,325,1118,Detchd,1939,1,2,410,3,2,0,0,0,0,271,0,0,3,,May,2006,119900
1-STORY 1946+,RL,150,215245,,Low,Inside,2,1Fam,1Story,7,5,1965,1965,Hip,CompShg,None,0,3,3,CBlock,4,3,3,5,1236,3,820,80,2136,GasW,3,1,5,2036,0,2036,Attchd,1965,2,2,513,3,2,0,0,0,0,0,0,0,0,,June,2009,375000
2-STORY 1945-,RM,60,9600,Grvl,Lvl,Inside,0,1Fam,2Story,7,7,1925,1990,Gable,CompShg,None,0,3,3,BrkTil,3,4,0,2,16,1,0,712,728,GasA,5,1,5,832,809,1641,Detchd,1925,1,2,546,2,2,0,0,234,0,0,0,0,0,,Aug,2006,178000
2-STORY 1946+,RL,71,7795,,Lvl,Inside,0,1Fam,2Story,7,5,2004,2005,Gable,CompShg,None,0,4,3,PConc,4,3,0,6,425,1,0,291,716,GasA,5,1,5,716,716,1432,Attchd,2004,3,2,432,3,2,100,51,0,0,0,0,0,0,,July,2009,188500
2-STORY 1946+,RL,94,13005,,Lvl,Corner,0,1Fam,2Story,7,7,1980,1980,Gable,CompShg,BrkFace,278,4,3,CBlock,4,3,0,6,692,1,0,153,845,GasA,3,1,5,1153,1200,2353,Attchd,1983,2,2,484,3,2,288,195,0,0,0,0,0,4,,Aug,2009,260000
2-STORY 1946+,FV,75,9000,,Lvl,Inside,0,1Fam,2Story,8,5,2006,2006,Gable,CompShg,None,0,4,3,PConc,4,3,2,1,0,1,0,1088,1088,GasA,5,1,5,1088,871,1959,Attchd,2006,2,3,1025,3,2,208,46,0,0,0,0,0,0,,Dec,2007,270000
2-STORY 1946+,RL,90,9900,,Low,Inside,1,1Fam,2Story,7,5,1993,1993,Gable,CompShg,BrkFace,256,4,3,PConc,4,3,3,6,987,1,0,360,1347,GasA,5,1,5,1372,1274,2646,Attchd,1993,2,3,656,3,2,340,60,144,0,0,0,0,0,,Apr,2009,260000
SPLIT OR MULTI-LEVEL,RL,,14115,,Lvl,Inside,0,1Fam,SLvl,7,5,1980,1980,Gable,CompShg,BrkFace,225,3,3,CBlock,4,3,2,6,1036,1,0,336,1372,GasA,3,1,5,1472,0,1472,Attchd,1980,1,2,588,3,2,233,48,0,0,0,0,0,0,,June,2009,187500
2-STORY 1946+,RL,111,16259,,Lvl,Corner,0,1Fam,2Story,9,5,2006,2006,Gable,CompShg,Stone,370,3,3,PConc,5,4,2,1,0,1,0,1249,1249,GasA,5,1,5,1249,1347,2596,Attchd,2006,2,3,840,3,2,240,154,0,0,0,0,0,0,,Sept,2006,342643
2-STORY 1946+,RL,99,12099,,Lvl,Inside,0,1Fam,2Story,8,5,2004,2004,Gable,CompShg,BrkFace,388,4,3,PConc,5,3,2,6,970,1,0,166,1136,GasA,5,1,5,1136,1332,2468,BuiltIn,2004,3,3,872,3,2,184,154,0,0,0,0,0,0,,June,2007,354000
2-STORY 1946+,RL,86,10380,,Lvl,Inside,0,1Fam,2Story,7,5,1986,1987,Gable,CompShg,BrkFace,172,4,3,CBlock,3,3,3,2,28,5,1474,0,1502,GasA,5,1,5,1553,1177,2730,Attchd,1987,3,2,576,3,2,201,96,0,0,0,0,0,3,,Aug,2007,301000
1-STORY 1946+,RM,49,5820,,Lvl,Inside,0,1Fam,1Story,3,8,1955,2005,Gable,CompShg,None,0,3,4,CBlock,3,3,0,5,256,1,0,906,1162,GasA,5,1,5,1163,0,1163,Attchd,1955,1,1,220,2,2,142,98,0,0,0,0,0,0,,July,2006,126175
SPLIT OR MULTI-LEVEL,RL,96,11275,,Lvl,Corner,0,1Fam,SLvl,7,7,1967,2007,Mansard,WdShake,BrkFace,300,4,4,CBlock,4,3,0,1,0,1,0,710,710,GasA,5,1,5,1898,1080,2978,BuiltIn,1961,3,2,564,3,2,240,0,0,0,0,0,0,0,,June,2010,242000
1-1/2 STORY UNF,RM,50,5000,,Lvl,Inside,0,1Fam,1.5Unf,5,6,1941,1950,Gable,CompShg,None,0,3,3,CBlock,3,3,2,4,116,1,0,604,720,GasA,1,0,3,803,0,803,Detchd,1941,1,2,360,3,2,0,0,244,0,0,0,0,0,,Dec,2007,87000
1-STORY PUD 1946+,RL,32,10846,,Lvl,CulDSac,0,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,None,0,4,3,PConc,4,3,3,6,1619,1,0,100,1719,GasA,5,1,5,1719,0,1719,Attchd,1993,3,2,473,3,2,122,30,0,0,0,0,0,0,,May,2008,324000
1-STORY 1946+,RL,80,11600,,Lvl,Inside,0,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,175,3,3,CBlock,3,3,0,3,565,1,0,818,1383,GasA,3,1,5,1383,0,1383,Attchd,1960,2,1,292,3,2,0,45,0,0,0,0,0,0,,Apr,2006,145250
2-1/2 STORY,RL,,11888,Pave,Bnk,Inside,0,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,844,844,GasA,4,0,4,1445,689,2134,Detchd,1930,1,2,441,3,2,0,60,268,0,0,0,0,0,,July,2009,214500
2-STORY 1945-,RM,60,6402,,Lvl,Corner,0,1Fam,2Story,5,5,1920,1950,Gable,CompShg,None,0,3,3,PConc,3,3,1,1,0,1,0,596,596,GasA,3,0,5,596,596,1192,Detchd,1920,1,1,189,2,0,0,0,137,0,0,0,0,2,,July,2009,78000
DUPLEX,RL,,10624,,Lvl,Inside,0,Duplex,1Story,5,4,1964,1964,Gable,CompShg,BrkFace,84,3,3,CBlock,3,3,0,6,40,3,264,1424,1728,GasA,3,1,5,1728,0,1728,Detchd,2002,1,1,352,3,2,155,0,0,0,0,0,0,0,,Nov,2007,119000
1-STORY 1946+,RL,70,8176,,Lvl,Inside,0,1Fam,1Story,5,6,1958,1992,Gable,CompShg,None,0,3,3,CBlock,3,3,0,3,846,1,0,210,1056,GasA,2,1,5,1056,0,1056,Attchd,1958,2,1,308,3,2,0,0,0,0,0,0,0,0,,Aug,2007,139000
1-STORY 1946+,RL,85,10655,,Lvl,Inside,0,1Fam,1Story,8,5,2003,2004,Gable,CompShg,BrkFace,296,4,3,PConc,4,3,0,6,1124,5,479,1603,3206,GasA,5,1,5,1629,0,1629,Attchd,2003,2,3,880,3,2,0,0,0,0,0,0,0,0,,Oct,2009,284000
1-STORY PUD 1946+,RM,59,8198,,Lvl,FR3,0,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,Stone,146,4,3,PConc,4,3,2,6,720,1,0,638,1358,GasA,5,1,5,1358,0,1358,Attchd,2004,2,2,484,3,2,192,30,0,0,0,0,0,0,,July,2008,207000
2-STORY 1946+,RL,59,9042,,Lvl,Inside,0,1Fam,2Story,6,5,1998,1998,Gable,CompShg,None,0,3,3,PConc,4,3,3,6,828,1,0,115,943,GasA,4,1,5,943,695,1638,Attchd,1998,3,2,472,3,2,100,38,0,0,0,0,0,0,,July,2008,192000
2 FAMILY CONVERSION,RL,,164660,,HLS,Corner,2,2fmCon,1.5Fin,5,6,1965,1965,Gable,CompShg,None,0,3,3,CBlock,3,3,3,5,1249,4,147,103,1499,GasA,5,1,5,1619,167,1786,Attchd,1965,3,2,529,3,2,670,0,0,0,0,0,0,0,Shed,Aug,2008,228950
1-STORY 1946+,RL,86,14157,,HLS,Corner,0,1Fam,1Story,9,5,2005,2006,Hip,CompShg,Stone,200,4,3,PConc,5,3,3,6,1249,1,0,673,1922,GasA,5,1,5,1922,0,1922,Attchd,2005,3,3,676,3,2,178,51,0,0,0,0,0,0,,July,2007,377426
1-STORY 1946+,RL,70,9135,,Lvl,Inside,0,1Fam,1Story,7,5,2002,2003,Gable,CompShg,BrkFace,113,4,3,PConc,4,3,2,6,810,1,0,726,1536,GasA,5,1,5,1536,0,1536,Attchd,2002,2,2,532,3,2,192,74,0,0,0,0,0,0,,Dec,2008,214000
1-STORY 1946+,RL,91,14145,,Lvl,Corner,0,1Fam,1Story,7,7,1984,1998,Gable,CompShg,None,0,4,3,CBlock,4,3,1,5,213,1,0,995,1208,GasA,5,1,5,1621,0,1621,Attchd,1984,2,2,440,3,2,108,45,0,0,0,0,0,0,Shed,May,2006,202500
1-STORY 1946+,RL,66,12400,,Lvl,Inside,0,1Fam,1Story,6,7,1958,1998,Hip,CompShg,BrkFace,176,3,3,CBlock,3,2,0,3,585,1,0,630,1215,GasA,3,1,4,1215,0,1215,Attchd,1958,1,1,297,3,2,0,0,0,0,234,0,0,0,,June,2009,155000
2-STORY 1946+,RL,85,14191,,Lvl,Inside,0,1Fam,2Story,8,5,2002,2002,Gable,CompShg,None,0,4,3,PConc,4,3,0,1,0,1,0,967,967,GasA,5,1,5,993,915,1908,Attchd,2002,3,2,431,3,2,135,0,0,0,0,0,0,0,,Apr,2010,202900
1-STORY 1946+,RH,60,8400,,Lvl,Inside,0,1Fam,1Story,4,4,1950,1950,Gable,CompShg,None,0,2,2,CBlock,3,2,0,1,0,1,0,721,721,GasA,4,1,5,841,0,841,CarPort,1950,1,1,294,3,0,250,0,24,0,0,0,0,0,,Sept,2009,82000
DUPLEX,RL,,8544,,Lvl,Inside,0,Duplex,1Story,3,4,1949,1950,Gable,CompShg,BrkFace,340,3,3,Slab,0,0,0,0,0,0,0,0,0,Wall,2,0,4,1040,0,1040,Detchd,1949,1,2,400,3,2,0,0,0,0,0,0,0,0,,May,2006,87500
1-STORY PUD 1946+,RL,63,8849,,Lvl,Inside,0,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,BrkFace,616,5,3,PConc,5,3,0,6,28,1,0,1656,1684,GasA,5,1,5,1684,0,1684,Attchd,2005,2,2,564,3,2,495,72,0,0,0,0,0,0,,July,2008,266000
2-STORY PUD 1946+,RM,36,2592,,Lvl,Inside,0,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,None,0,3,3,CBlock,4,3,0,3,129,4,232,175,536,GasA,3,1,5,536,576,1112,Attchd,1976,1,1,336,3,2,182,0,0,0,0,0,0,0,,Apr,2010,85000
1-1/2 STORY FIN,RL,65,6435,,Lvl,Inside,0,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,972,972,GasA,4,1,5,972,605,1577,Detchd,1939,1,1,312,3,2,0,0,0,0,0,0,0,0,,Oct,2006,140200
1-STORY 1946+,RL,,12772,,Lvl,CulDSac,0,1Fam,1Story,6,8,1960,1998,Hip,CompShg,None,0,3,4,CBlock,3,3,1,4,498,1,0,460,958,GasA,3,1,5,958,0,958,Attchd,1960,2,1,301,3,2,0,0,0,0,0,0,0,0,Gar2,Apr,2007,151500
1-STORY 1946+,RL,,17600,,Lvl,Inside,0,1Fam,1Story,6,5,1960,1960,Gable,CompShg,BrkFace,30,3,3,CBlock,3,3,0,4,1270,1,0,208,1478,GasA,5,1,4,1478,0,1478,Attchd,1960,1,2,498,3,2,0,40,0,0,0,0,0,0,,Dec,2009,157500
2-STORY PUD 1946+,RL,36,2448,,Lvl,Inside,0,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,Stone,106,4,3,PConc,4,3,0,6,573,1,0,191,764,GasA,5,1,5,764,862,1626,BuiltIn,2003,2,2,474,3,2,0,27,0,0,0,0,0,0,,Oct,2008,154000
2-STORY 1946+,RL,56,20431,,Lvl,Inside,0,1Fam,2Story,9,5,2005,2006,Hip,CompShg,BrkFace,870,5,3,PConc,5,3,0,6,1410,1,0,438,1848,GasA,5,1,5,1848,880,2728,Attchd,2006,3,3,706,3,2,0,0,0,0,0,0,0,0,,Apr,2006,437154
1-STORY PUD 1946+,RL,68,7820,,Lvl,Inside,0,TwnhsE,1Story,9,5,2007,2007,Hip,CompShg,BrkFace,362,5,3,PConc,5,3,0,1,0,1,0,1869,1869,GasA,5,1,5,1869,0,1869,Attchd,2007,2,2,617,3,2,210,54,0,0,0,0,0,0,,Dec,2007,318061
1-STORY PUD 1946+,RL,,5271,,Low,Inside,1,1Fam,1Story,7,5,1986,1986,Gable,CompShg,None,0,3,3,PConc,4,3,3,6,1082,1,0,371,1453,GasA,4,1,5,1453,0,1453,Attchd,1986,2,2,445,3,2,0,80,0,0,184,0,0,0,,Dec,2006,190000
1-1/2 STORY FIN,RL,60,9084,,Lvl,Inside,0,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,None,0,3,3,CBlock,3,2,1,2,236,3,380,0,616,GasA,3,0,5,616,495,1111,Detchd,1941,1,1,200,3,2,48,0,0,0,0,0,0,0,,Mar,2008,95000
1-STORY 1945-,RM,60,8520,,Lvl,Inside,0,1Fam,1Story,6,8,1928,2003,Gable,CompShg,None,0,3,4,BrkTil,3,3,0,1,0,1,0,624,624,GasA,4,1,5,720,0,720,Detchd,2005,1,2,484,3,2,106,0,0,0,0,0,0,0,,May,2010,105900
1-1/2 STORY FIN,RL,60,8400,,Bnk,Inside,0,1Fam,1.5Fin,6,5,1940,2000,Gable,CompShg,None,0,3,3,CBlock,3,3,0,2,388,1,0,552,940,GasA,5,1,5,1192,403,1595,Attchd,1940,1,1,240,3,2,0,0,108,0,0,0,0,0,,June,2006,140000
1-STORY 1946+,RL,105,11249,,Lvl,Inside,0,1Fam,1Story,6,5,1995,1995,Gable,CompShg,None,0,4,4,PConc,4,4,0,5,334,4,544,322,1200,GasA,5,1,5,1200,0,1200,Attchd,1995,2,2,521,3,2,0,26,0,0,0,0,0,0,,Aug,2007,177500
1-STORY 1946+,RL,,9248,,Lvl,Inside,0,1Fam,1Story,6,6,1992,1992,Gable,CompShg,BrkFace,106,3,3,PConc,4,3,0,6,560,1,0,598,1158,GasA,4,1,5,1167,0,1167,Attchd,1992,2,2,400,3,2,120,26,0,0,0,0,0,0,,July,2009,173000
1-STORY PUD 1946+,RM,44,4224,,Lvl,Inside,0,TwnhsE,1Story,5,5,1976,1976,Gable,CompShg,None,0,3,3,PConc,4,3,0,5,874,1,0,268,1142,GasA,3,1,5,1142,0,1142,Attchd,1976,3,2,528,3,2,536,90,0,0,0,0,0,3,,Aug,2007,134000
SPLIT OR MULTI-LEVEL,RL,92,6930,,Lvl,Inside,0,1Fam,SLvl,5,4,1958,1958,Hip,CompShg,BrkFace,120,3,3,CBlock,3,3,2,4,300,3,294,468,1062,GasA,5,1,3,1352,0,1352,BuiltIn,1958,1,1,288,3,2,168,0,294,0,0,0,0,0,,July,2006,130000
